Sex,Age,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason,Guardian,Travel_Time,Study_Time,School_Support,Family_Support,Paid_Classes,Activities,Nursery,Higher_Education,Internet_Access,Romantic_Relationship,Family_Relationship,Free_Time,Go_Out,Workday_Alcohol_Consumption,Weekend_Alcohol_Consumption,Health_Status,Absences,First_Semester_Grade,Second_Semester_Grade,Total_Alcohol_Consumption,Average_Grade,Study_Efficiency
F,-1.447300130400864,GT3,T,2,1,3,2,3,0,2.3283199838741315,1.7730099753313804,0,yes,no,yes,yes,yes,yes,no,5,2,2,-0.5874201557726759,-0.9976946599159401,4,-0.8975331962778967,-0.5605115320667684,0.17652885229605644,-1.5851148156886161,-0.191991339885356,0.7614975551518648
M,-1.447300130400864,LE3,T,4,4,1,3,0,0,-0.7940585656173843,-1.2297124197083462,0,yes,no,yes,yes,yes,yes,no,4,3,3,-0.5874201557726759,0.5606779857770687,5,-0.8975331962778967,0.23747734428276035,0.589757753932335,-0.02674216999560719,0.41361754910754767,1.5486419679286993
M,-1.447300130400864,GT3,T,4,3,4,2,0,1,0.7671307091283736,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,5,4,3,-0.5874201557726759,-0.2185083370694357,3,-0.8975331962778967,0.23747734428276035,0.17652885229605644,-0.8059284928421117,0.20700309828940838,0.354110159558296
F,-0.6136612562089254,GT3,T,4,4,1,2,1,1,-0.7940585656173843,-1.2297124197083462,0,yes,no,no,yes,yes,yes,no,4,4,4,-0.5874201557726759,-0.2185083370694357,2,0.815826110683613,2.2324495351565825,2.242673360477449,-0.8059284928421117,2.237561447817016,1.5486419679286993
F,-0.6136612562089254,GT3,T,3,3,2,2,3,1,2.3283199838741315,0.27164877781151714,1,yes,no,yes,yes,yes,no,no,5,3,2,-0.5874201557726759,-0.9976946599159401,4,-0.3264134272907268,0.6364717824575248,1.0029866555686135,-1.5851148156886161,0.8197292190130692,0.11667158281204806
M,0.2199776179830132,GT3,T,3,2,3,3,0,1,-0.7940585656173843,-1.2297124197083462,0,yes,yes,yes,yes,yes,yes,no,5,5,5,1.1139279916250355,1.339864308623573,5,-0.3264134272907268,-1.3585004084162973,-1.4763867542490579,2.4537923002486086,-1.4174435813326776,1.5486419679286993
M,-0.6136612562089254,LE3,T,4,3,1,2,1,0,-0.7940585656173843,-1.2297124197083462,0,no,no,yes,yes,yes,yes,no,3,1,3,-0.5874201557726759,0.5606779857770687,5,0.815826110683613,0.23747734428276035,0.17652885229605644,-0.02674216999560719,0.20700309828940838,1.5486419679286993
M,-1.447300130400864,GT3,T,4,3,4,2,3,1,-0.7940585656173843,0.27164877781151714,0,no,no,no,yes,yes,yes,no,4,4,1,-0.5874201557726759,-0.9976946599159401,1,-0.8975331962778967,0.23747734428276035,0.589757753932335,-1.5851148156886161,0.41361754910754767,-0.3421016906987319
M,-1.447300130400864,GT3,T,4,4,1,1,2,0,-0.7940585656173843,-1.2297124197083462,0,yes,yes,no,yes,yes,yes,no,5,4,2,-0.5874201557726759,-0.9976946599159401,5,-0.8975331962778967,-0.16151709389200405,0.17652885229605644,-1.5851148156886161,0.007505879202026194,1.5486419679286993
M,-0.6136612562089254,LE3,T,4,2,4,2,0,1,-0.7940585656173843,0.27164877781151714,0,no,no,yes,yes,yes,yes,no,4,5,1,-0.5874201557726759,0.5606779857770687,5,-0.8975331962778967,0.23747734428276035,0.589757753932335,-0.02674216999560719,0.41361754910754767,-0.3421016906987319
M,-0.6136612562089254,LE3,T,2,2,2,2,3,1,0.7671307091283736,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,5,4,4,1.1139279916250355,1.339864308623573,5,-0.3264134272907268,-0.5605115320667684,-0.6499289509765007,2.4537923002486086,-0.6052202415216346,0.354110159558296
F,-0.6136612562089254,GT3,T,2,2,3,3,1,1,-0.7940585656173843,-1.2297124197083462,0,yes,no,no,no,yes,yes,no,1,2,2,-0.5874201557726759,0.5606779857770687,5,0.815826110683613,-0.5605115320667684,-0.23670004934022212,-0.02674216999560719,-0.3986057907034953,1.5486419679286993
M,-1.447300130400864,GT3,T,2,2,2,2,1,1,-0.7940585656173843,-1.2297124197083462,0,yes,no,no,yes,yes,yes,no,4,2,2,-0.5874201557726759,-0.2185083370694357,5,1.3869458796707828,-0.16151709389200405,0.17652885229605644,-0.8059284928421117,0.007505879202026194,1.5486419679286993
M,-1.447300130400864,GT3,T,4,2,1,3,2,1,-0.7940585656173843,-1.2297124197083462,0,no,no,no,yes,yes,yes,no,2,2,4,1.1139279916250355,1.339864308623573,1,-0.8975331962778967,-0.16151709389200405,-0.23670004934022212,2.4537923002486086,-0.1991085716161131,1.5486419679286993
M,-0.6136612562089254,LE3,A,3,4,3,2,1,1,-0.7940585656173843,0.27164877781151714,1,yes,yes,yes,yes,yes,yes,no,5,3,3,-0.5874201557726759,-0.9976946599159401,5,-0.3264134272907268,0.23747734428276035,0.17652885229605644,-1.5851148156886161,0.20700309828940838,-0.3421016906987319
M,-0.6136612562089254,GT3,T,4,4,4,4,1,1,-0.7940585656173843,0.27164877781151714,0,yes,yes,yes,yes,yes,yes,yes,4,4,5,0.26718615555498815,2.1190506314700777,5,0.2447063416964431,0.23747734428276035,-0.23670004934022212,2.386236787025066,0.0003886474712691129,-0.3421016906987319
M,-1.447300130400864,GT3,T,4,4,1,3,1,1,-0.7940585656173843,0.27164877781151714,0,yes,yes,no,no,yes,yes,no,5,4,2,2.815276139022747,1.339864308623573,5,-0.8975331962778967,-0.5605115320667684,-0.23670004934022212,4.15514044764632,-0.3986057907034953,-0.3421016906987319
M,-1.447300130400864,GT3,T,4,4,3,3,3,1,0.7671307091283736,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,4,3,1,-0.5874201557726759,-0.9976946599159401,5,-0.3264134272907268,1.4344606588070536,1.416215557204892,-1.5851148156886161,1.4253381080059728,0.354110159558296
M,-1.447300130400864,GT3,T,4,3,4,0,0,1,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,yes,yes,4,5,2,-0.5874201557726759,-0.9976946599159401,5,-0.8975331962778967,0.6364717824575248,1.0029866555686135,-1.5851148156886161,0.8197292190130692,-0.3421016906987319
M,-1.447300130400864,LE3,T,3,3,2,2,0,1,-0.7940585656173843,0.27164877781151714,0,no,no,yes,no,yes,yes,no,5,3,2,-0.5874201557726759,-0.9976946599159401,2,-0.8975331962778967,0.6364717824575248,0.17652885229605644,-1.5851148156886161,0.4065003173767906,-0.3421016906987319
M,-0.6136612562089254,GT3,T,3,2,2,2,1,1,-0.7940585656173843,-1.2297124197083462,0,yes,no,no,no,yes,yes,no,5,4,3,-0.5874201557726759,-0.9976946599159401,5,0.2447063416964431,0.23747734428276035,0.17652885229605644,-1.5851148156886161,0.20700309828940838,1.5486419679286993
F,-1.447300130400864,GT3,T,2,3,2,2,2,0,0.7671307091283736,-1.2297124197083462,0,yes,no,yes,yes,yes,no,no,3,5,1,-0.5874201557726759,-0.9976946599159401,5,0.2447063416964431,-0.16151709389200405,-0.23670004934022212,-1.5851148156886161,-0.1991085716161131,-1.6030024676049868
F,-1.447300130400864,GT3,T,2,2,0,2,3,1,-0.7940585656173843,-1.2297124197083462,1,yes,no,yes,yes,yes,no,no,4,3,1,-0.5874201557726759,-0.9976946599159401,2,1.3869458796707828,1.035466220632289,0.589757753932335,-1.5851148156886161,0.8126119872823121,1.5486419679286993
F,-0.6136612562089254,LE3,T,2,2,2,2,1,1,0.7671307091283736,0.27164877781151714,0,yes,no,yes,no,yes,yes,yes,3,3,3,-0.5874201557726759,-0.2185083370694357,3,0.14746638102913603,-0.16151709389200405,-0.23670004934022212,-0.8059284928421117,-0.1991085716161131,0.354110159558296
M,-1.447300130400864,LE3,T,4,4,4,2,1,2,-0.7940585656173843,-1.2297124197083462,0,yes,no,no,no,yes,yes,yes,5,4,3,1.1139279916250355,1.339864308623573,5,1.3869458796707828,-0.5605115320667684,-0.23670004934022212,2.4537923002486086,-0.3986057907034953,1.5486419679286993
M,-1.447300130400864,GT3,T,4,4,3,4,0,0,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,4,3,3,-0.5874201557726759,-0.9976946599159401,5,-0.8975331962778967,1.035466220632289,1.416215557204892,-1.5851148156886161,1.2258408889185906,-0.3421016906987319
M,-1.447300130400864,GT3,T,2,2,3,3,0,0,-0.7940585656173843,-1.2297124197083462,1,yes,no,no,yes,yes,yes,no,5,4,1,-0.5874201557726759,-0.9976946599159401,1,-0.8975331962778967,-0.9595059702415328,-0.6499289509765007,-1.5851148156886161,-0.8047174606090168,1.5486419679286993
F,-0.6136612562089254,LE3,T,2,2,2,0,0,0,0.7671307091283736,0.27164877781151714,1,no,no,yes,yes,yes,yes,no,4,3,3,1.1139279916250355,-0.2185083370694357,5,3.1003051866322924,-0.5605115320667684,-0.23670004934022212,0.8954196545555998,-0.3986057907034953,0.354110159558296
F,-1.447300130400864,LE3,A,4,3,2,2,0,1,-0.7940585656173843,0.27164877781151714,1,yes,yes,yes,yes,yes,yes,yes,5,2,2,-0.5874201557726759,-0.9976946599159401,5,0.2447063416964431,-0.5605115320667684,-0.23670004934022212,-1.5851148156886161,-0.3986057907034953,-0.3421016906987319
F,-0.6136612562089254,LE3,A,3,3,2,3,1,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,2,3,5,-0.5874201557726759,1.339864308623573,3,0.815826110683613,0.6364717824575248,0.17652885229605644,0.7524441528508972,0.4065003173767906,-0.3421016906987319
M,-0.6136612562089254,GT3,T,4,3,1,3,3,1,-0.7940585656173843,0.16754823252893788,0,no,no,yes,yes,yes,yes,no,4,2,2,-0.5874201557726759,-0.9976946599159401,2,-0.3264134272907268,2.2324495351565825,2.242673360477449,-1.5851148156886161,2.237561447817016,-0.21100236151809323
M,-1.447300130400864,GT3,T,4,2,4,2,1,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,no,no,4,3,3,1.1139279916250355,-0.2185083370694357,5,0.2447063416964431,-0.16151709389200405,0.17652885229605644,0.8954196545555998,0.007505879202026194,-0.3421016906987319
F,-1.447300130400864,GT3,T,4,4,3,4,2,0,-0.7940585656173843,0.27164877781151714,1,yes,no,yes,no,yes,yes,no,4,4,4,-0.5874201557726759,-0.9976946599159401,3,-0.3264134272907268,0.6364717824575248,0.17652885229605644,-1.5851148156886161,0.4065003173767906,-0.3421016906987319
F,-0.6136612562089254,LE3,T,2,2,3,3,0,1,2.3283199838741315,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,4,3,3,1.1139279916250355,0.5606779857770687,4,-0.8975331962778967,1.035466220632289,0.589757753932335,1.6746059774021043,0.8126119872823121,0.11667158281204806
F,-1.447300130400864,LE3,T,4,2,1,2,2,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,4,3,3,-0.5874201557726759,-0.9976946599159401,5,-0.8975331962778967,1.833455096981818,1.0029866555686135,-1.5851148156886161,1.4182208762752158,-0.3421016906987319
M,-1.447300130400864,LE3,A,4,2,1,1,2,0,0.7671307091283736,-1.2297124197083462,0,no,no,no,yes,yes,no,no,5,5,5,2.815276139022747,1.339864308623573,5,0.2447063416964431,-0.5605115320667684,-1.0631578526127792,4.15514044764632,-0.8118346923397738,-1.6030024676049868
F,-1.447300130400864,GT3,T,4,4,3,3,0,1,-0.7940585656173843,-1.2297124197083462,1,yes,no,no,yes,yes,yes,no,3,3,4,1.1139279916250355,0.5606779857770687,5,-0.8975331962778967,0.6364717824575248,0.17652885229605644,1.6746059774021043,0.4065003173767906,1.5486419679286993
F,-1.447300130400864,LE3,A,3,3,2,2,2,1,-0.7940585656173843,-1.2297124197083462,0,no,no,no,yes,yes,yes,no,5,3,4,0.26718615555498815,1.339864308623573,1,-0.8975331962778967,0.6364717824575248,0.17652885229605644,1.6070504641785612,0.4065003173767906,1.5486419679286993
F,-0.6136612562089254,GT3,A,2,1,2,2,2,1,-0.7940585656173843,0.27164877781151714,0,no,no,yes,yes,yes,yes,yes,5,3,4,-0.5874201557726759,-0.9976946599159401,2,-0.3264134272907268,0.23747734428276035,0.589757753932335,-1.5851148156886161,0.41361754910754767,-0.3421016906987319
F,-1.447300130400864,GT3,A,4,3,3,3,3,1,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,4,3,2,-0.5874201557726759,-0.9976946599159401,1,-0.8975331962778967,1.4344606588070536,1.0029866555686135,-1.5851148156886161,1.2187236571878337,-0.3421016906987319
M,-1.447300130400864,GT3,T,4,4,4,1,3,1,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,no,no,3,2,2,-0.5874201557726759,-0.9976946599159401,5,1.3869458796707828,1.4344606588070536,1.416215557204892,-1.5851148156886161,1.4253381080059728,-0.3421016906987319
M,-1.447300130400864,LE3,T,1,2,2,0,1,0,-0.7940585656173843,0.27164877781151714,1,yes,no,yes,yes,yes,yes,no,4,3,2,-0.5874201557726759,-0.9976946599159401,5,-0.8975331962778967,1.035466220632289,0.589757753932335,-1.5851148156886161,0.8126119872823121,-0.3421016906987319
F,-0.6136612562089254,GT3,T,4,2,3,2,0,1,-0.7940585656173843,0.27164877781151714,0,yes,yes,no,yes,yes,yes,no,4,2,3,-0.5874201557726759,-0.9976946599159401,5,-0.3264134272907268,1.833455096981818,1.416215557204892,-1.5851148156886161,1.624835327093355,-0.3421016906987319
F,-0.6136612562089254,GT3,T,4,4,1,4,2,1,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,no,no,2,4,4,1.1139279916250355,0.5606779857770687,4,-0.8975331962778967,2.2324495351565825,1.8294444588411707,1.6746059774021043,2.0309469969988765,-0.3421016906987319
F,-0.6136612562089254,LE3,T,1,2,2,3,3,0,-0.7940585656173843,0.27164877781151714,1,no,no,yes,yes,yes,yes,no,4,4,3,-0.5874201557726759,-0.9976946599159401,1,-0.8975331962778967,0.6364717824575248,0.589757753932335,-1.5851148156886161,0.6131147681949298,-0.3421016906987319
F,-1.447300130400864,LE3,T,4,3,3,3,3,0,-0.7940585656173843,0.27164877781151714,1,no,no,yes,yes,yes,yes,yes,4,4,4,1.1139279916250355,1.339864308623573,2,-0.8975331962778967,0.6364717824575248,0.17652885229605644,2.4537923002486086,0.4065003173767906,-0.3421016906987319
F,-0.6136612562089254,LE3,T,4,3,4,3,0,1,2.3283199838741315,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,5,4,3,-0.5874201557726759,-0.2185083370694357,1,-0.3264134272907268,1.833455096981818,1.416215557204892,-0.8059284928421117,1.624835327093355,0.11667158281204806
M,-1.447300130400864,GT3,A,4,4,2,3,3,1,-0.7940585656173843,0.16754823252893788,0,yes,no,yes,no,yes,yes,yes,1,3,3,0.26718615555498815,2.1190506314700777,3,-0.8975331962778967,-0.16151709389200405,0.17652885229605644,2.386236787025066,0.007505879202026194,-0.21100236151809323
F,-0.6136612562089254,GT3,T,3,1,3,2,0,1,-0.7940585656173843,0.16754823252893788,1,yes,no,no,yes,yes,yes,no,4,3,3,-0.5874201557726759,-0.2185083370694357,5,-0.8975331962778967,-0.5605115320667684,-1.0631578526127792,-0.8059284928421117,-0.8118346923397738,-0.21100236151809323
F,-1.447300130400864,LE3,T,2,2,1,3,3,1,0.7671307091283736,0.27164877781151714,1,yes,no,no,yes,yes,yes,no,4,1,3,-0.5874201557726759,0.5606779857770687,4,-0.8975331962778967,-0.16151709389200405,-0.6499289509765007,-0.02674216999560719,-0.4057230224342524,0.354110159558296
F,-1.447300130400864,LE3,T,3,1,2,2,3,0,0.7671307091283736,0.16754823252893788,0,yes,no,no,no,yes,yes,no,4,4,2,1.1139279916250355,0.5606779857770687,3,0.815826110683613,1.4344606588070536,1.416215557204892,1.6746059774021043,1.4253381080059728,0.21840897585668148
M,-0.6136612562089254,GT3,T,3,1,2,2,3,0,0.7671307091283736,0.16754823252893788,0,yes,no,no,yes,yes,yes,no,4,3,2,-0.5874201557726759,-0.9976946599159401,5,-0.3264134272907268,0.6364717824575248,-0.23670004934022212,-1.5851148156886161,0.19988586655865132,0.21840897585668148
M,-1.447300130400864,GT3,T,4,2,2,2,0,1,-0.7940585656173843,0.16754823252893788,0,no,no,no,yes,yes,yes,no,3,3,3,-0.5874201557726759,-0.9976946599159401,3,-0.8975331962778967,-0.16151709389200405,-1.0631578526127792,-1.5851148156886161,-0.6123374732523916,-0.21100236151809323
F,-1.447300130400864,GT3,T,1,1,2,2,3,1,-0.7940585656173843,0.27164877781151714,1,yes,no,no,no,yes,yes,yes,3,3,4,1.1139279916250355,1.339864308623573,5,-0.3264134272907268,0.6364717824575248,-0.23670004934022212,2.4537923002486086,0.19988586655865132,-0.3421016906987319
M,-0.6136612562089254,GT3,T,3,1,2,2,3,1,-0.7940585656173843,-1.2297124197083462,0,no,no,yes,yes,yes,no,no,5,3,2,1.1139279916250355,-0.2185083370694357,5,-0.8975331962778967,0.6364717824575248,0.589757753932335,0.8954196545555998,0.6131147681949298,1.5486419679286993
F,-0.6136612562089254,GT3,T,3,3,2,3,1,1,-0.7940585656173843,0.27164877781151714,1,yes,no,yes,yes,yes,yes,no,4,3,3,1.1139279916250355,1.339864308623573,5,0.2447063416964431,-0.16151709389200405,-0.23670004934022212,2.4537923002486086,-0.1991085716161131,-0.3421016906987319
M,-1.447300130400864,GT3,T,4,3,4,2,1,1,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,4,3,3,1.1139279916250355,0.5606779857770687,5,-0.8975331962778967,-0.16151709389200405,-0.23670004934022212,1.6746059774021043,-0.1991085716161131,-0.3421016906987319
M,-1.447300130400864,GT3,T,4,0,4,2,0,1,0.7671307091283736,0.16754823252893788,0,no,no,yes,yes,yes,yes,no,3,4,3,-0.5874201557726759,-0.9976946599159401,1,-0.8975331962778967,0.23747734428276035,-0.23670004934022212,-1.5851148156886161,0.0003886474712691129,0.21840897585668148
F,-0.6136612562089254,GT3,T,2,2,2,2,3,1,-0.7940585656173843,0.16754823252893788,0,no,no,no,yes,yes,yes,yes,5,2,3,-0.5874201557726759,0.5606779857770687,3,-0.6119733117843118,0.6364717824575248,0.589757753932335,-0.02674216999560719,0.6131147681949298,-0.21100236151809323
M,0.2199776179830132,GT3,T,2,1,2,2,1,1,0.7671307091283736,-1.2297124197083462,1,yes,no,yes,yes,no,yes,no,4,5,1,-0.5874201557726759,-0.9976946599159401,3,-0.8975331962778967,-0.9595059702415328,-1.0631578526127792,-1.5851148156886161,-1.011331911427156,-1.6030024676049868
F,-0.6136612562089254,GT3,T,3,4,0,2,0,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,2,4,3,-0.5874201557726759,-0.2185083370694357,3,3.1003051866322924,0.23747734428276035,-0.23670004934022212,-0.8059284928421117,0.0003886474712691129,-0.3421016906987319
M,-1.447300130400864,GT3,T,2,3,2,3,0,0,-0.7940585656173843,-1.2297124197083462,1,yes,no,yes,no,yes,yes,yes,3,2,2,-0.5874201557726759,0.5606779857770687,3,-0.8975331962778967,-0.16151709389200405,-0.23670004934022212,-0.02674216999560719,-0.1991085716161131,1.5486419679286993
F,-1.447300130400864,LE3,T,3,2,3,2,3,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,yes,no,4,4,4,-0.5874201557726759,-0.9976946599159401,5,0.2447063416964431,0.23747734428276035,-0.23670004934022212,-1.5851148156886161,0.0003886474712691129,-0.3421016906987319
M,-1.447300130400864,LE3,T,2,2,3,3,1,1,0.7671307091283736,0.27164877781151714,0,no,yes,yes,yes,yes,yes,no,5,3,3,-0.5874201557726759,0.5606779857770687,4,-0.3264134272907268,0.6364717824575248,0.17652885229605644,-0.02674216999560719,0.4065003173767906,0.354110159558296
F,-1.447300130400864,GT3,T,1,1,2,2,1,0,-0.7940585656173843,0.27164877781151714,0,yes,no,yes,no,yes,yes,no,4,3,2,1.1139279916250355,0.5606779857770687,4,-0.3264134272907268,0.6364717824575248,0.17652885229605644,1.6746059774021043,0.4065003173767906,-0.3421016906987319
F,-1.447300130400864,GT3,T,4,4,3,3,3,0,0.7671307091283736,0.27164877781151714,0,no,no,no,yes,yes,yes,yes,4,4,4,1.1139279916250355,0.5606779857770687,5,0.2447063416964431,0.23747734428276035,-0.23670004934022212,1.6746059774021043,0.0003886474712691129,0.354110159558296
F,-0.6136612562089254,LE3,T,2,2,0,2,0,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,no,no,4,3,4,-0.5874201557726759,-0.2185083370694357,2,0.815826110683613,0.6364717824575248,-0.23670004934022212,-0.8059284928421117,0.19988586655865132,-0.3421016906987319
M,-0.6136612562089254,GT3,T,2,2,3,2,3,0,0.7671307091283736,0.27164877781151714,0,no,no,yes,no,yes,yes,no,4,4,2,-0.5874201557726759,-0.9976946599159401,3,0.815826110683613,0.23747734428276035,-0.6499289509765007,-1.5851148156886161,-0.20622580334687018,0.354110159558296
M,-0.6136612562089254,LE3,A,4,4,4,1,3,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,no,no,4,1,3,2.815276139022747,2.1190506314700777,5,0.815826110683613,-0.9595059702415328,-1.0631578526127792,4.934326770492825,-1.011331911427156,-0.3421016906987319
F,-1.447300130400864,GT3,T,4,3,3,2,3,1,-0.7940585656173843,-1.2297124197083462,0,no,no,yes,yes,yes,yes,no,4,5,5,-0.5874201557726759,0.5606779857770687,1,0.815826110683613,1.035466220632289,0.589757753932335,-0.02674216999560719,0.8126119872823121,1.5486419679286993
F,-0.6136612562089254,LE3,T,3,1,2,2,1,0,-0.7940585656173843,0.27164877781151714,1,yes,no,no,yes,yes,no,no,3,3,3,1.1139279916250355,0.5606779857770687,2,-0.8975331962778967,0.23747734428276035,0.589757753932335,1.6746059774021043,0.41361754910754767,-0.3421016906987319
F,-0.6136612562089254,GT3,T,4,2,4,3,1,1,0.7671307091283736,0.27164877781151714,0,yes,no,yes,yes,yes,yes,no,5,3,3,-0.5874201557726759,-0.9976946599159401,1,-0.3264134272907268,0.6364717824575248,1.0029866555686135,-1.5851148156886161,0.8197292190130692,0.354110159558296
M,-1.447300130400864,LE3,T,2,2,3,1,3,1,-0.7940585656173843,0.16754823252893788,0,yes,no,yes,yes,yes,yes,no,4,3,4,-0.5874201557726759,-0.9976946599159401,4,-0.3264134272907268,-0.16151709389200405,0.17652885229605644,-1.5851148156886161,0.007505879202026194,-0.21100236151809323
F,-1.447300130400864,GT3,T,1,1,0,2,1,1,0.7671307091283736,0.16754823252893788,1,yes,yes,yes,yes,yes,yes,no,3,1,2,-0.5874201557726759,-0.9976946599159401,1,0.2447063416964431,0.6364717824575248,0.589757753932335,-1.5851148156886161,0.6131147681949298,0.21840897585668148
M,-0.6136612562089254,GT3,T,4,3,3,2,3,1,0.7671307091283736,-1.2297124197083462,1,yes,yes,yes,no,yes,yes,no,3,3,3,-0.5874201557726759,-0.9976946599159401,4,0.815826110683613,-0.9595059702415328,-0.23670004934022212,-1.5851148156886161,-0.5981030097908775,-1.6030024676049868
F,-0.6136612562089254,GT3,T,2,1,2,2,0,1,-0.7940585656173843,0.27164877781151714,0,yes,no,no,yes,yes,no,yes,4,3,5,-0.5874201557726759,-0.9976946599159401,5,-0.8975331962778967,0.6364717824575248,0.17652885229605644,-1.5851148156886161,0.4065003173767906,-0.3421016906987319
F,-0.6136612562089254,GT3,T,4,4,2,2,3,1,-0.7940585656173843,-1.2297124197083462,0,no,no,yes,no,yes,yes,no,5,3,4,-0.5874201557726759,-0.2185083370694357,1,0.2447063416964431,0.23747734428276035,0.589757753932335,-0.8059284928421117,0.41361754910754767,1.5486419679286993
M,-0.6136612562089254,GT3,T,4,4,3,3,2,1,-0.7940585656173843,-1.2297124197083462,1,yes,no,yes,yes,yes,yes,no,4,5,5,0.26718615555498815,2.1190506314700777,4,2.5291854176451225,-0.9595059702415328,-1.0631578526127792,2.386236787025066,-1.011331911427156,1.5486419679286993
M,-1.447300130400864,GT3,T,4,4,3,2,0,1,-0.7940585656173843,-1.2297124197083462,0,yes,yes,yes,no,yes,yes,no,5,3,3,-0.5874201557726759,-0.9976946599159401,5,-0.3264134272907268,0.23747734428276035,0.589757753932335,-1.5851148156886161,0.41361754910754767,1.5486419679286993
